url,image,name,price
https://scrapingclub.com/exercise/list_basic_detail/96230-A/,https://scrapingclub.com/static/img/96230-A.jpg,Short Sweatshirt,$24.99
https://scrapingclub.com/exercise/list_basic_detail/73840-P/,https://scrapingclub.com/static/img/73840-P.jpg,Long-sleeved Jersey Top,$12.99
https://scrapingclub.com/exercise/list_basic_detail/73840-Q/,https://scrapingclub.com/static/img/73840-Q.jpg,Long-sleeved Jersey Top,$12.99
https://scrapingclub.com/exercise/list_basic_detail/96113-C/,https://scrapingclub.com/static/img/96113-C.jpg,Jersey Dress,$19.99
https://scrapingclub.com/exercise/list_basic_detail/96230-C/,https://scrapingclub.com/static/img/96230-C.jpg,Short Sweatshirt,$24.99
https://scrapingclub.com/exercise/list_basic_detail/00959-A/,https://scrapingclub.com/static/img/00959-A.jpg,Crinkled Flounced Blouse,$24.99
https://scrapingclub.com/exercise/list_basic_detail/94323-B/,https://scrapingclub.com/static/img/94323-B.jpg,Bib Overall Dress,$29.99
https://scrapingclub.com/exercise/list_basic_detail/71342-J/,https://scrapingclub.com/static/img/71342-J.jpg,Loose-knit Sweater,$17.99
https://scrapingclub.com/exercise/list_basic_detail/94453-B/,https://scrapingclub.com/static/img/94453-B.jpg,Skinny Regular Jeans,$29.99
https://scrapingclub.com/exercise/list_basic_detail/34975-K/,https://scrapingclub.com/static/img/34975-K.jpg,Henley-style Top,$12.99
https://scrapingclub.com/exercise/list_basic_detail/59851-A/,https://scrapingclub.com/static/img/59851-A.jpg,Joggers,$17.99
https://scrapingclub.com/exercise/list_basic_detail/93811-A/,https://scrapingclub.com/static/img/93811-A.jpg,Skirt with Lacing,$34.99
https://scrapingclub.com/exercise/list_basic_detail/94967-A/,https://scrapingclub.com/static/img/94967-A.jpg,Top with Tie,$17.99
https://scrapingclub.com/exercise/list_basic_detail/92905-A/,https://scrapingclub.com/static/img/92905-A.jpg,Joggers,$34.99
https://scrapingclub.com/exercise/list_basic_detail/97504-A/,https://scrapingclub.com/static/img/97504-A.jpg,Chiffon Dress with Flounce,$49.99
https://scrapingclub.com/exercise/list_basic_detail/93811-B/,https://scrapingclub.com/static/img/93811-B.jpg,Skirt with Lacing,$34.99
https://scrapingclub.com/exercise/list_basic_detail/95168-D/,https://scrapingclub.com/static/img/95168-D.jpg,V-neck Top,$9.99
https://scrapingclub.com/exercise/list_basic_detail/52378-D/,https://scrapingclub.com/static/img/52378-D.jpg,Hooded Jacket,$29.99
https://scrapingclub.com/exercise/list_basic_detail/60135-A/,https://scrapingclub.com/static/img/60135-A.jpg,Hooded Top,$29.99
https://scrapingclub.com/exercise/list_basic_detail/91865-A/,https://scrapingclub.com/static/img/91865-A.jpg,Lyocell-blend Blouse,$34.99
https://scrapingclub.com/exercise/list_basic_detail/94323-A/,https://scrapingclub.com/static/img/94323-A.jpg,Bib Overall Dress,$29.99
https://scrapingclub.com/exercise/list_basic_detail/92942-B/,https://scrapingclub.com/static/img/92942-B.jpg,Wide-leg Pants,$34.99
https://scrapingclub.com/exercise/list_basic_detail/93270-A/,https://scrapingclub.com/static/img/93270-A.jpg,Ankle-length Slim-fit Pants,$24.99
https://scrapingclub.com/exercise/list_basic_detail/96230-D/,https://scrapingclub.com/static/img/96230-D.jpg,Short Sweatshirt,$9.99
https://scrapingclub.com/exercise/list_basic_detail/97571-B/,https://scrapingclub.com/static/img/97571-B.jpg,V-neck Blouse,$17.99
https://scrapingclub.com/exercise/list_basic_detail/92740-A/,https://scrapingclub.com/static/img/92740-A.jpg,Short Skirt,$24.99
https://scrapingclub.com/exercise/list_basic_detail/94984-A/,https://scrapingclub.com/static/img/94984-A.jpg,Mesh T-shirt,$17.99
https://scrapingclub.com/exercise/list_basic_detail/96236-C/,https://scrapingclub.com/static/img/96236-C.jpg,Blouse with Embroidery,$59.99
https://scrapingclub.com/exercise/list_basic_detail/99663-A/,https://scrapingclub.com/static/img/99663-A.jpg,Wide-cut Cotton Top,$34.99
https://scrapingclub.com/exercise/list_basic_detail/00268-B/,https://scrapingclub.com/static/img/00268-B.jpg,Pleated Skirt,$54.99
https://scrapingclub.com/exercise/list_basic_detail/98209-A/,https://scrapingclub.com/static/img/98209-A.jpg,Coat,$69.99
https://scrapingclub.com/exercise/list_basic_detail/93158-A/,https://scrapingclub.com/static/img/93158-A.jpg,Wide-leg Pants,$49.99
https://scrapingclub.com/exercise/list_basic_detail/00948-B/,https://scrapingclub.com/static/img/00948-B.jpg,Top,$29.99
https://scrapingclub.com/exercise/list_basic_detail/94321-B/,https://scrapingclub.com/static/img/94321-B.jpg,Knit Mohair-blend Sweater,$69.99
https://scrapingclub.com/exercise/list_basic_detail/98086-A/,https://scrapingclub.com/static/img/98086-A.jpg,Dress,$69.99
https://scrapingclub.com/exercise/list_basic_detail/01007-C/,https://scrapingclub.com/static/img/01007-C.jpg,T-shirt with Embroidery,$29.99
https://scrapingclub.com/exercise/list_basic_detail/98894-A/,https://scrapingclub.com/static/img/98894-A.jpg,Blouse with Ruffled Collar,$49.99
https://scrapingclub.com/exercise/list_basic_detail/00286-B/,https://scrapingclub.com/static/img/00286-B.jpg,Pants,$49.99
https://scrapingclub.com/exercise/list_basic_detail/96113-B/,https://scrapingclub.com/static/img/96113-B.jpg,Jersey Dress,$19.99
https://scrapingclub.com/exercise/list_basic_detail/96771-B/,https://scrapingclub.com/static/img/96771-B.jpg,T-shirt,$6.99
https://scrapingclub.com/exercise/list_basic_detail/96771-A/,https://scrapingclub.com/static/img/96771-A.jpg,T-shirt,$6.99
https://scrapingclub.com/exercise/list_basic_detail/93086-B/,https://scrapingclub.com/static/img/93086-B.jpg,Blazer,$49.99
